osmid,name
"266814250",Whole Foods Market
"297638926",Harris Teeter
"315911053",Food Lion
"317791058",Harris Teeter
"321247239",
"398941519",Parker & Otis
"693482656",Harris Teeter
"729687624",Food Lion
"748177717",Halgo European Deli
"821354490",Food Lion
"821861541",Food Lion
"821995253",Food Lion
"821995268",Compare
"904099403",Food Lion
"904273084",Food Lion
"904273153",Harris Teeter
"904499011",Food Lion
"904508318",Harris Teeter
"904508327",The Fresh Market
"975728363",Harris Teeter
"1171616239",Harris Teeter
"1175008264",Lowes Foods
"1175008280",Food Lion
"1175633276",Food Lion
"1175633282",Food Lion
"1256273303",Food Lion
"1284351928",Whole Foods Market
"1305382381",Food Lion
"1315065159",Grand Asia Market
"1325899876",Lowes Foods
"1382512199",Food Lion
"1595817316",Food Lion
"1646487057",Food Lion
"1655040659",Harris Teeter
"1775717799",Walmart Supercenter
"1775718440",Whole Foods Market
"1924768391",Food Lion
"1993911063",Lowes Foods
"1994005672",Food Lion
"2003859059",Food Lion
"2088952833",Harris Teeter
"2178025823",Kadhambam Spices
"2210536841",
"2285982789",Trader Joe's
"2344426891",Casablanca Market
"2429692322",Harris Teeter
"2430315096",Aldi
"2435348957",Food Lion
"2442125047",Harris Teeter
"2470649236",Food Lion
"2589647508",Spice Bazaar
"2622974983",Weaver Street Market
"2668408489",Food Lion
"2696902557",Mikyin?s Asian Market
"2718025534",The Fresh Market
"2721041818",The Fresh Market
"2799202992",Food Lion
"2921236772",Food Lion
"3011615179",Lowes Foods
"3013098370",Compare Foods
"3020653984",Food Lion
"3220451541",Harris Teeter
"3247194266",Harris Teeter
"3334995520",Harris Teeter
"3377193093",Food Lion
"3478024240",
"3625704492",Lowes Foods
"3625704494",Harris Teeter
"3789861480",Li Ming's Global Mart
"3866376790",Harris Teeter
"4035798000",Food Lion
"4238539758",Jose Jr. Mexican Store
"4284993895",Just Save
"4309292490",Harris Teeter
"4335856109",Food Lion
"4335868131",Lowes Foods
"4337340136",Walmart Supercenter
"4344922495",Walmart Supercenter
"4344946978",Walmart Supercenter
"4368507010",Elmo's Clothing
"4368507012",Merle Norman Cosmetic Studio
"4368507013",Ashworth's Clothing & Shoes
"4368507015",Big Apple Supermarket
"4368507016",Queen Bee Lingerie
"4368507018",Everything Kids
"4368507019",Magnolia House Custom Framing
"4368507020",Varina Soap and Candle
"4368507021",Cousin Couture
"4368507022",Ann's Diamond Center
"4368507025",KnB's Marketplace
"4368507029",Pass It On
"4368507030",Fuquay Coins & Jewelry
"4368507031",Gremlina Vintage
"4374715985",SUR Furniture
"4374715986",ToyTown Hobby Shop
"4374735466",Las Carolinas Supermarket
"4374753807",Nu-Art Signs
"4393872230",Food Lion
"4394002239",Food Lion
"4502874897",Suvidha Indo-Pak Groceries
"4518441893",The Fresh Market
"4576381889",Walmart Supercenter
"4614305862",Sabzi Mandi
"4675776563",Food Lion
"4837127877",Walmart Neighborhood Market
"4973655827",Publix
"5205039170",Walmart Supercenter
"5315597734",Walmart Supercenter
"5315600804",Walmart
"5315601371",Walmart Supercenter
"5315601772",Walmart Supercenter
"5330009012",Food Lion
"5519569305",Food Lion
"5565569233",Lowes Foods
"5581356415",Food Lion
"5714336862",Food Lion
"5732114466",Food Lion
"5732193472",Harris Teeter
"5732198470",Trader Joe's
"5732256054",Food Lion
"5732324727",Efland Supermarket
"5777332863",Harris Teeter
"5785410068",580 Craft Beer
"5808092224",The Grain Mill Co-op
"5905451215",Whole Foods Market
"6238960838",El Super
"6410709305",Food Lion
"6410718102",Harris Teeter
"6463311439",Food Lion
"6479459153",Publix
"6499747333",Harris Teeter
"6513753417",Harmony Farms
"6513753427",Food Lion
"6516713727",Weaver Street Market
"6588836043",Food Lion
"6591488035",Food Lion
"6596672075",Food Lion
"6610006660",Food Lion
"6637171131",La Michoacana
"6680330694",Mi Casita
"6701052675",Azteca Market
"6701125082",Brotherhood
"6701145466",Selma IGA Inc Supermarket
"6823351212",Compare Foods
"6897263828",Royal Foodmart
"6897352900",Bobbitt Grocery
"6897356156",Ingleside Grocery
"6953174730",Sprouts Farmers Market
"6984176607",Carolina Open Air Market
"6991058134",Aldi
"7105908899",Publix
"7214491973",Food Lion
"7214528894",Food Lion
"7228260011",La Carniceria Meat Market
"7341098308",Herbalife Club
"7373864198",Food Lion
"7389707782",Interfood Plaza Supermarket
"7389727697",Food Lion
"7391352486",Harmony Mediterranean Market
"7406399434",Food Lion
"7411410818",Lidl
"7447493057",Food Lion
"7472433244",Trader Joe's
"7508374525",Lowes Foods
"7527837960",Publix
"7530040318",Walmart Supercenter
"7542382760",Lowes Foods
"7601233708",Food Lion
"7636940201",Harris Teeter
"7636942315",Publix
"7638167440",Lidl
"7639092370",Harris Teeter
"7641144242",
"7653413065",Sprouts Farmers Market
"7683348683",Lowes Foods
"7683386835",Food Lion
"7702627024",Harris Teeter
"7724697445",Harris Teeter
"7731877209",Food Lion
"7734435748",Harris Teeter
"7866734932",Food Lion
"7869310945",Publix
"7966434531",La Bonita Market
"8193025540",Publix
"8401309458",Stem Mini Mart
"8406512958",Weaver Street Market
"8419557272",Harris Teeter
"8441933468",Privettes Grocery
"8493360410",Food Lion
"8521913897",Food Lion
"8526423798",Family Fare
"8528468108",Food Lion
"8529304365",Food Lion
"8579466495",El Mandado Supermarket
"8607474209",Food Lion
"8608779032",Lowes Foods
"8723373814",ALDI
"8723380784",Aldi
"8723466026",Aldi
"9024045517",Spices Hut Indian Groceries
"9114780673",CompareFoods
"9192233974",IGA
"9203569353",Wine Authorities
"9321419306",Publix
"9393317891",Food Lion
"9395638207",Food Lion
"9395638216",NC International Grocery Store
"9425965290",International Food
